workclass,race,sex,native-country,income,age_range,hours-per-week_range,education-degree
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,41-60,Bach
private,black,male,germany,<=50k,15-30,21-40,Bach
state-gov,white,male,united-states,>50k,15-30,41-60,Bach
private,black,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,>50k,45-60,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,21-40,Bach
,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,41-60,Bach
private,white,female,united-states,<=50k,15-30,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,41-60,Bach
private,black,female,united-states,<=50k,45-60,21-40,Bach
federal-gov,white,male,iran,>50k,30-45,21-40,Mast
self-emp-not-inc,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,0-20,Assoc
private,asian-pac-islander,male,united-states,>50k,45-60,21-40,Assoc
self-emp-inc,white,male,united-states,<=50k,60-75,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,mexico,<=50k,15-30,21-40,Assoc
private,white,female,united-states,>50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,60-75,21-40,Assoc
private,black,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,60-75,21-40,MiddleSchool
,white,female,united-states,<=50k,30-45,21-40,Assoc
local-gov,white,female,mexico,<=50k,45-60,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,asian-pac-islander,female,philippines,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
,white,male,united-states,>50k,45-60,41-60,HS-College
private,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Bach
self-emp-not-inc,black,male,united-states,<=50k,60-75,0-20,Assoc
private,white,male,united-states,<=50k,15-30,41-60,HS-College
private,black,male,united-states,<=50k,30-45,41-60,Bach
,white,female,united-states,<=50k,60-75,0-20,Elementary
private,white,female,united-states,<=50k,15-30,21-40,HS-College
self-emp-inc,asian-pac-islander,female,united-states,<=50k,30-45,21-40,Mast
private,asian-pac-islander,female,england,<=50k,15-30,21-40,HS-College
self-emp-not-inc,white,male,united-states,>50k,30-45,21-40,Mast
private,white,female,mexico,<=50k,30-45,21-40,Assoc
federal-gov,white,male,united-states,<=50k,30-45,41-60,Bach
state-gov,white,male,united-states,<=50k,45-60,21-40,Mast
private,white,male,united-states,<=50k,15-30,0-20,MiddleSchool
local-gov,white,female,united-states,<=50k,60-75,0-20,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
state-gov,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,15-30,41-60,Bach
state-gov,white,male,united-states,>50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,black,male,united-states,<=50k,15-30,21-40,HS-College
private,black,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,0-20,HS-College
private,white,male,united-states,<=50k,30-45,61-80,Bach
local-gov,black,male,united-states,>50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,Assoc
private,black,male,united-states,<=50k,15-30,41-60,Assoc
private,white,male,mexico,>50k,30-45,21-40,Elementary
federal-gov,white,male,united-states,>50k,30-45,41-60,Assoc
private,black,male,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,female,united-states,<=50k,30-45,21-40,Bach
,white,female,united-states,<=50k,45-60,41-60,Bach
private,white,female,united-states,<=50k,30-45,41-60,Mast
state-gov,white,male,united-states,>50k,45-60,0-20,Postmaster
private,black,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Assoc
local-gov,black,male,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,45-60,41-60,Assoc
federal-gov,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,male,mexico,<=50k,15-30,21-40,Elementary
private,white,male,united-states,<=50k,30-45,21-40,Assoc
federal-gov,white,female,united-states,>50k,30-45,41-60,Mast
private,white,male,united-states,>50k,30-45,21-40,Mast
self-emp-not-inc,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Mast
,white,male,italy,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,45-60,41-60,Bach
local-gov,white,female,united-states,<=50k,30-45,21-40,Assoc
state-gov,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,MiddleSchool
private,black,male,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,41-60,HS-College
self-emp-inc,white,female,united-states,>50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
local-gov,black,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,HS-College
private,amer-indian-eskimo,female,united-states,<=50k,30-45,21-40,Assoc
private,asian-pac-islander,male,united-states,<=50k,45-60,21-40,HS-College
self-emp-inc,white,male,united-states,>50k,45-60,21-40,Elementary
private,black,male,united-states,>50k,30-45,41-60,Bach
private,white,female,united-states,<=50k,45-60,21-40,Bach
private,white,male,poland,<=50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,30-45,21-40,Assoc
,white,male,united-states,<=50k,60-75,21-40,Elementary
private,black,male,united-states,<=50k,75-90,21-40,HS-College
private,black,male,united-states,<=50k,45-60,0-20,HS-College
local-gov,white,female,united-states,<=50k,45-60,21-40,Preschool
private,white,female,united-states,<=50k,15-30,21-40,HS-College
,amer-indian-eskimo,female,united-states,<=50k,45-60,0-20,MiddleSchool
self-emp-not-inc,white,male,united-states,<=50k,60-75,41-60,HS-College
private,white,female,columbia,<=50k,60-75,0-20,Assoc
private,white,female,united-states,<=50k,60-75,21-40,HS-College
private,black,male,united-states,<=50k,30-45,21-40,MiddleSchool
private,black,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,other,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,15-30,41-60,Mast
state-gov,white,male,united-states,<=50k,45-60,21-40,HS-College
state-gov,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,iran,>50k,30-45,41-60,Bach
local-gov,white,male,united-states,>50k,30-45,61-80,Mast
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,Bach
self-emp-not-inc,white,female,united-states,<=50k,30-45,0-20,HS-College
state-gov,white,male,united-states,<=50k,15-30,41-60,Bach
,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,,<=50k,45-60,21-40,HS-College
private,white,male,united-states,>50k,45-60,41-60,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,,<=50k,30-45,21-40,HS-College
private,white,female,united-states,>50k,30-45,21-40,Mast
private,black,female,united-states,<=50k,30-45,21-40,Bach
local-gov,black,female,united-states,<=50k,45-60,21-40,MiddleSchool
local-gov,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,45-60,0-20,Assoc
self-emp-not-inc,asian-pac-islander,male,cambodia,>50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,45-60,21-40,Elementary
private,white,female,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,15-30,0-20,MiddleSchool
private,white,male,united-states,<=50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
self-emp-inc,asian-pac-islander,male,thailand,>50k,30-45,61-80,Assoc
,white,male,canada,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,60-75,21-40,HS-College
private,white,female,united-states,<=50k,30-45,41-60,Bach
private,white,female,united-states,>50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,60-75,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
self-emp-not-inc,white,male,united-states,<=50k,45-60,81-100,Mast
local-gov,white,male,united-states,<=50k,15-30,21-40,Mast
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,black,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,>50k,15-30,41-60,Assoc
private,white,female,germany,<=50k,15-30,0-20,Bach
local-gov,white,male,united-states,>50k,30-45,21-40,Assoc
private,black,female,united-states,<=50k,30-45,41-60,Bach
private,white,female,united-states,<=50k,45-60,41-60,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
federal-gov,white,male,united-states,>50k,45-60,21-40,Mast
private,white,male,united-states,>50k,30-45,41-60,Mast
private,white,male,united-states,<=50k,45-60,41-60,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Bach
private,white,male,ecuador,<=50k,45-60,21-40,Elementary
private,white,male,united-states,<=50k,30-45,41-60,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
local-gov,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,black,female,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,60-75,0-20,HS-College
self-emp-inc,white,female,united-states,<=50k,30-45,41-60,Bach
,asian-pac-islander,female,,<=50k,30-45,21-40,Mast
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,30-45,61-80,HS-College
private,white,male,united-states,>50k,45-60,21-40,Bach
private,asian-pac-islander,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,41-60,HS-College
private,white,male,united-states,>50k,45-60,21-40,HS-College
private,asian-pac-islander,female,laos,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,female,united-states,<=50k,45-60,21-40,Bach
private,white,male,united-states,>50k,30-45,21-40,Bach
self-emp-inc,white,male,united-states,>50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,asian-pac-islander,male,taiwan,>50k,30-45,21-40,Mast
,black,female,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,black,female,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,75-90,21-40,Assoc
private,white,female,mexico,<=50k,15-30,21-40,Elementary
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,60-75,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,female,united-states,<=50k,15-30,21-40,MiddleSchool
self-emp-not-inc,white,male,united-states,<=50k,75-90,0-20,Mast
self-emp-not-inc,white,male,united-states,<=50k,60-75,41-60,HS-College
,black,female,united-states,<=50k,15-30,0-20,Assoc
private,white,female,united-states,>50k,30-45,41-60,Assoc
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,60-75,41-60,HS-College
private,black,male,united-states,<=50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,45-60,21-40,Assoc
local-gov,white,male,united-states,<=50k,45-60,21-40,MiddleSchool
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,mexico,<=50k,15-30,41-60,Elementary
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,45-60,41-60,Mast
private,black,male,haiti,<=50k,15-30,21-40,HS-College
private,black,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,>50k,30-45,21-40,Assoc
state-gov,white,male,united-states,>50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,0-20,HS-College
state-gov,black,female,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,30-45,41-60,Bach
,white,male,united-states,<=50k,60-75,0-20,MiddleSchool
,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,iran,<=50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,Bach
local-gov,white,male,united-states,<=50k,45-60,21-40,MiddleSchool
,white,male,united-states,>50k,45-60,21-40,Bach
federal-gov,white,male,united-states,>50k,30-45,21-40,HS-College
private,other,male,united-states,<=50k,60-75,21-40,MiddleSchool
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,male,portugal,<=50k,15-30,21-40,MiddleSchool
private,white,female,united-states,<=50k,30-45,21-40,MiddleSchool
private,white,male,united-states,>50k,60-75,21-40,Mast
private,white,male,united-states,<=50k,30-45,41-60,Bach
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,15-30,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,45-60,41-60,Assoc
private,white,female,united-states,<=50k,15-30,0-20,Bach
private,white,female,united-states,>50k,45-60,41-60,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
federal-gov,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,15-30,0-20,MiddleSchool
state-gov,white,male,united-states,>50k,30-45,21-40,Assoc
private,black,male,united-states,<=50k,30-45,21-40,HS-College
private,black,male,united-states,<=50k,30-45,21-40,HS-College
local-gov,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,Mast
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,45-60,41-60,Elementary
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,45-60,21-40,Assoc
local-gov,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,>50k,30-45,0-20,Assoc
private,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,>50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,Bach
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,Bach
state-gov,white,male,,>50k,30-45,41-60,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,Assoc
,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,15-30,41-60,Bach
self-emp-inc,white,male,united-states,>50k,45-60,41-60,Bach
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Assoc
state-gov,white,male,united-states,>50k,45-60,21-40,Bach
private,white,female,united-states,<=50k,30-45,61-80,Assoc
private,other,male,puerto-rico,<=50k,15-30,21-40,Elementary
private,white,male,united-states,>50k,30-45,61-80,Mast
private,white,male,united-states,<=50k,15-30,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,HS-College
,white,female,united-states,>50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,41-60,Assoc
local-gov,black,female,united-states,<=50k,30-45,21-40,Assoc
private,black,female,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,45-60,41-60,Postmaster
state-gov,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,30-45,41-60,HS-College
private,white,male,mexico,<=50k,45-60,21-40,Elementary
private,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
local-gov,black,male,united-states,<=50k,30-45,21-40,MiddleSchool
state-gov,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,0-20,MiddleSchool
state-gov,white,female,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,41-60,HS-College
federal-gov,white,male,united-states,<=50k,30-45,21-40,Mast
private,white,male,dominican-republic,<=50k,15-30,61-80,HS-College
self-emp-inc,white,male,united-states,>50k,60-75,21-40,HS-College
local-gov,white,male,united-states,<=50k,45-60,21-40,Mast
,white,male,united-states,<=50k,75-90,21-40,HS-College
,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
self-emp-not-inc,white,female,united-states,<=50k,30-45,21-40,Bach
private,white,female,united-states,>50k,15-30,21-40,Bach
private,asian-pac-islander,male,philippines,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,41-60,Mast
local-gov,black,male,united-states,<=50k,30-45,41-60,HS-College
local-gov,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Assoc
local-gov,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
federal-gov,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,male,mexico,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,black,female,united-states,<=50k,30-45,21-40,HS-College
private,amer-indian-eskimo,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
private,black,female,united-states,<=50k,15-30,21-40,HS-College
self-emp-inc,white,male,united-states,>50k,30-45,41-60,Assoc
private,white,male,united-states,>50k,45-60,21-40,HS-College
private,black,male,,>50k,30-45,21-40,Bach
self-emp-not-inc,white,female,united-states,>50k,30-45,21-40,HS-College
private,asian-pac-islander,male,united-states,>50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,black,male,united-states,<=50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,15-30,41-60,HS-College
,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Bach
local-gov,black,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,45-60,21-40,Elementary
private,white,female,united-states,<=50k,15-30,0-20,Bach
private,white,female,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,45-60,41-60,Mast
private,white,female,united-states,>50k,15-30,0-20,Bach
private,white,male,united-states,>50k,45-60,21-40,Assoc
,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,HS-College
private,white,female,united-states,<=50k,60-75,21-40,Assoc
private,white,female,united-states,<=50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,15-30,0-20,MiddleSchool
